DisasterBeasons_Nc_Standard_Event_CardDescription,A pile of feathers.,A pile of feathers.
DisasterBeasons_Nc_Standard_Event_CardName,goods,物品
DisasterBeasons_Nc_Standard_Item_CardDescription,A pile of feathers.,A pile of feathers.
DisasterBeasons_Nc_Standard_Item_CardName,goods,物品
DisasterBeasons_Nc_Standard_Location_CardDescription,A beautiful glassy stone. Could make a good knife out of this.,A beautiful glassy stone. Could make a good knife out of this.
DisasterBeasons_Nc_Standard_Location_CardName,Obsidian,Obsidian
DisasterBeasons_DiasterBaeconsPerk_PerkDescription,The seasons are unpredictable and fate follows them.,四季无常，命运随身。
DisasterBeasons_DiasterBaeconsPerk_PerkName,Apocalypse Now!,天启
DisasterBeasons_DiasterBeason_LolaStart_PerkDescription,A remarkable beginning.,一次非凡的开始。
DisasterBeasons_DiasterBeason_LolaStart_PerkName,trip,旅途
DisasterBeasons_Gs_BloodMoon_BloodWolfTransformation_Description,Legend has it that there will always be a blood wolf in the world ....,传说世界上总会有一头血狼....
DisasterBeasons_Gs_BloodMoon_BloodWolfTransformation_GameName,blood wolfization,血狼化
DisasterBeasons_Gs_BloodMoon_BloodWolfTransformation_Statuses[0].GameName,At least you can still stay awake... It's business as usual.,至少仍能保持清醒..一切照旧
DisasterBeasons_Gs_BloodMoon_BloodWolfTransformation_Statuses[1].GameName,Hungry for blood... A thirst for killing...,渴望鲜血...渴望杀戮...
DisasterBeasons_Gs_BloodMoon_BloodWolfTransformation_Statuses[2].GameName,The blood wolf that howls under the moon... That's you!,月下狼嚎的血狼...就是你！
DisasterBeasons_Gs_BloodMoon_BloodWolfTransformation_Statuses[3].GameName,Incarnation of the Blood Moon,血月化身
DisasterBeasons_Gs_Character_Lola_OpeningEpisode_Exhaustion_GameName,Gs_Character_Lola_OpeningEpisode_Exhaustion,Gs_Character_Lola_OpeningEpisode_Exhaustion
DisasterBeasons_Gs_Character_Lola_OpeningEpisode_Exhaustion_NotEnoughText,physically exhausted,身疲力竭
